"","State Name","mean(AQI)"
"1","Alabama",56.97578125
"2","Alaska",30.6559934318555
"3","Arizona",55.952263952264
"4","Arkansas",49.0075460307878
"5","California",61.8284683326153
"6","Canada",32.1310043668122
"7","Colorado",38.3024225058609
"8","Connecticut",48.3868703550785
"9","Country Of Mexico",88.9899117276166
"10","Delaware",62.0339539978094
"11","District Of Columbia",64.8497267759563
"12","Florida",48.4223773654235
"13","Georgia",54.4153295482597
"14","Hawaii",31.6041292639138
"15","Idaho",35.2471856287425
"16","Illinois",45.8856568523117
"17","Indiana",48.4721963605586
"18","Iowa",41.9040511727079
"19","Kansas",45.6418511066398
"20","Kentucky",51.3155529503712
"21","Louisiana",53.2480089596814
"22","Maine",31.3461219983439
"23","Maryland",53.3490542864161
"24","Massachusetts",46.4241085515936
"25","Michigan",42.298602462986
"26","Minnesota",31.5176792828685
"27","Mississippi",56.6276262852034
"28","Missouri",49.8001069900143
"29","Montana",33.6402803545661
"30","Nebraska",36.1581073283324
"31","Nevada",46.0479166666667
"32","New Hampshire",36.607928047968
"33","New Jersey",46.6869337979094
"34","New Mexico",39.5329973602112
"35","New York",42.2562706417924
"36","North Carolina",55.92492789452
"37","North Dakota",28.1015299026426
"38","Ohio",49.5512535019036
"39","Oklahoma",43.9791449426486
"40","Oregon",35.5091701054562
"41","Pennsylvania",52.0185694062786
"42","Puerto Rico",32.2130281690141
"43","Rhode Island",47.1052631578947
"44","South Carolina",54.2408325074331
"45","South Dakota",32.9615384615385
"46","Tennessee",55.7458380725881
"47","Texas",51.932483426823
"48","Utah",47.1721499617445
"49","Vermont",34.9278350515464
"50","Virgin Islands",30.729381443299
"51","Virginia",45.6723127035831
"52","Washington",35.8548844750709
"53","West Virginia",58.4435599101858
"54","Wisconsin",42.8253402034615
"55","Wyoming",36.0518059102517
